workerid,participant_id,condition,scenario,question,response,distal,proximal,age,gender,race,ethnicity
1127,P1780166139861_7036,mental,hurt,cause,distal,1,0,20,Female,White,Non-Hispanic
1127,P1780166139861_7036,mental,hurt,lexical,distal,1,0,20,Female,White,Non-Hispanic
1127,P1780166139861_7036,mental,shock,cause,distal,1,0,20,Female,White,Non-Hispanic
1127,P1780166139861_7036,mental,shock,lexical,proximal,0,1,20,Female,White,Non-Hispanic
1179,P1780166266827_5767,mental,hurt,cause,distal,1,0,69,Male,,Non-Hispanic
1179,P1780166266827_5767,mental,hurt,lexical,distal,1,0,69,Male,,Non-Hispanic
1179,P1780166266827_5767,mental,shock,cause,distal,1,0,69,Male,,Non-Hispanic
1179,P1780166266827_5767,mental,shock,lexical,distal,1,0,69,Male,,Non-Hispanic
1082,P1780166080083_147,mental,hurt,cause,distal,1,0,42,Male,White,Non-Hispanic
1082,P1780166080083_147,mental,hurt,lexical,distal,1,0,42,Male,White,Non-Hispanic
1082,P1780166080083_147,mental,shock,cause,distal,1,0,42,Male,White,Non-Hispanic
1082,P1780166080083_147,mental,shock,lexical,distal,1,0,42,Male,White,Non-Hispanic
1089,P1780166094505_2887,mental,hurt,cause,distal,1,0,28,Male,White,Non-Hispanic
1089,P1780166094505_2887,mental,hurt,lexical,distal,1,0,28,Male,White,Non-Hispanic
1089,P1780166094505_2887,mental,shock,cause,proximal,0,1,28,Male,White,Non-Hispanic
1089,P1780166094505_2887,mental,shock,lexical,proximal,0,1,28,Male,White,Non-Hispanic
1085,P1780166093363_6735,mental,hurt,cause,distal,1,0,23,Male,Black/African American,Non-Hispanic
1085,P1780166093363_6735,mental,hurt,lexical,proximal,0,1,23,Male,Black/African American,Non-Hispanic
1085,P1780166093363_6735,mental,shock,cause,distal,1,0,23,Male,Black/African American,Non-Hispanic
1085,P1780166093363_6735,mental,shock,lexical,proximal,0,1,23,Male,Black/African American,Non-Hispanic
1091,P1780166097686_9206,mental,hurt,cause,distal,1,0,38,Female,Asian,Non-Hispanic
1091,P1780166097686_9206,mental,hurt,lexical,distal,1,0,38,Female,Asian,Non-Hispanic
1091,P1780166097686_9206,mental,shock,cause,proximal,0,1,38,Female,Asian,Non-Hispanic
1091,P1780166097686_9206,mental,shock,lexical,proximal,0,1,38,Female,Asian,Non-Hispanic
