workerid,proliferate.condition,balloon,drum,error
1080,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1311,control,"['pop', 'cause_pop']","['break', 'cause_break']",
893,control,"['cause_pop', 'pop']","['cause_break', 'break']",
960,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1038,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1019,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1078,control,"['pop', 'cause_pop']","['break', 'cause_break']",
964,control,"['pop', 'cause_pop']","['break', 'cause_break']",
862,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1062,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1065,control,"['pop', 'cause_pop']","['break', 'cause_break']",
977,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1084,control,"['pop', 'cause_pop']","['break', 'cause_break']",
958,control,"['pop', 'cause_pop']","['break', 'cause_break']",
872,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1027,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1025,control,"['cause_pop', 'pop']","['cause_break', 'break']",
928,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1042,control,"['pop', 'cause_pop']","['break', 'cause_break']",
858,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1001,control,"['pop', 'cause_pop']","['break', 'cause_break']",
868,control,"['cause_pop', 'pop']","['cause_break', 'break']",
886,control,"['cause_pop', 'pop']","['cause_break', 'break']",
914,control,"['pop', 'cause_pop']","['break', 'cause_break']",
851,control,"['cause_pop', 'pop']","['cause_break', 'break']",
926,control,"['cause_pop', 'pop']","['cause_break', 'break']",
991,control,"['pop', 'cause_pop']","['break', 'cause_break']",
899,control,"['pop', 'cause_pop']","['break', 'cause_break']",
897,control,"['cause_pop', 'pop']","['cause_break', 'break']",
950,control,"['pop', 'cause_pop']","['break', 'cause_break']",
910,control,"['pop', 'cause_pop']","['break', 'cause_break']",
924,control,"['cause_pop', 'pop']","['cause_break', 'break']",
983,control,"['cause_pop', 'pop']","['cause_break', 'break']",
903,control,"['cause_pop', 'pop']","['cause_break', 'break']",
946,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1152,control,"['cause_pop', 'pop']","['cause_break', 'break']",
979,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1067,control,"['pop', 'cause_pop']","['break', 'cause_break']",
999,control,"['pop', 'cause_pop']","['break', 'cause_break']",
989,control,"['pop', 'cause_pop']","['break', 'cause_break']",
954,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1077,control,"['pop', 'cause_pop']","['break', 'cause_break']",
933,control,"['pop', 'cause_pop']","['break', 'cause_break']",
891,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1007,control,"['cause_pop', 'pop']","['cause_break', 'break']",
895,control,"['pop', 'cause_pop']","['break', 'cause_break']",
970,control,"['cause_pop', 'pop']","['cause_break', 'break']",
940,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1005,control,"['cause_pop', 'pop']","['cause_break', 'break']",
966,control,"['cause_pop', 'pop']","['cause_break', 'break']",
860,control,"['cause_pop', 'pop']","['cause_break', 'break']",
956,control,"['pop', 'cause_pop']","['break', 'cause_break']",
972,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1021,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1030,control,"['cause_pop', 'pop']","['cause_break', 'break']",
916,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1282,control,"['pop', 'cause_pop']","['break', 'cause_break']",
985,control,"['cause_pop', 'pop']","['cause_break', 'break']",
882,control,"['pop', 'cause_pop']","['break', 'cause_break']",
930,control,"['pop', 'cause_pop']","['break', 'cause_break']",
993,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1051,control,"['cause_pop', 'pop']","['cause_break', 'break']",
884,control,"['cause_pop', 'pop']","['cause_break', 'break']",
948,control,"['pop', 'cause_pop']","['break', 'cause_break']",
997,control,"['pop', 'cause_pop']","['break', 'cause_break']",
942,control,"['pop', 'cause_pop']","['break', 'cause_break']",
874,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1040,control,"['pop', 'cause_pop']","['break', 'cause_break']",
907,control,"['pop', 'cause_pop']","['break', 'cause_break']",
912,control,"['cause_pop', 'pop']","['cause_break', 'break']",
936,control,"['cause_pop', 'pop']","['cause_break', 'break']",
1054,control,"['pop', 'cause_pop']","['break', 'cause_break']",
901,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1016,control,"['cause_pop', 'pop']","['cause_break', 'break']",
880,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1003,control,"['pop', 'cause_pop']","['break', 'cause_break']",
975,control,"['cause_pop', 'pop']","['cause_break', 'break']",
968,control,"['cause_pop', 'pop']","['cause_break', 'break']",
944,control,"['cause_pop', 'pop']","['cause_break', 'break']",
995,control,"['cause_pop', 'pop']","['cause_break', 'break']",
878,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1073,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1032,control,"['cause_pop', 'pop']","['cause_break', 'break']",
962,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1034,control,"['pop', 'cause_pop']","['break', 'cause_break']",
932,control,"['cause_pop', 'pop']","['cause_break', 'break']",
855,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1058,control,"['pop', 'cause_pop']","['break', 'cause_break']",
952,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1009,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1014,control,"['cause_pop', 'pop']","['cause_break', 'break']",
866,control,"['cause_pop', 'pop']","['cause_break', 'break']",
864,control,"['pop', 'cause_pop']","['break', 'cause_break']",
981,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1046,control,"['cause_pop', 'pop']","['cause_break', 'break']",
870,control,"['pop', 'cause_pop']","['break', 'cause_break']",
938,control,"['pop', 'cause_pop']","['break', 'cause_break']",
1011,control,"['pop', 'cause_pop']","['break', 'cause_break']",
876,control,"['cause_pop', 'pop']","['cause_break', 'break']",
905,control,"['pop', 'cause_pop']","['break', 'cause_break']",
888,control,"['pop', 'cause_pop']","['break', 'cause_break']",
961,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
927,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1000,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1022,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
976,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
873,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
911,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
902,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1041,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1043,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
917,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1020,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
896,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
863,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1312,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
904,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
998,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1068,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
854,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
921,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
992,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
923,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
947,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
978,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
943,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1055,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
994,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
906,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1002,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1280,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1036,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
996,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
965,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
852,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1012,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1008,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
883,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
856,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
951,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
898,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
877,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1024,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
959,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1004,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
913,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
937,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1310,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1079,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
967,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
957,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
945,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
934,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1074,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
894,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1050,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1033,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1059,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1066,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
953,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1061,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1064,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
908,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
869,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
861,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
881,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1226,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1081,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
955,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
935,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
849,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1015,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
879,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
859,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
885,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
929,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1010,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1031,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1053,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1006,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
941,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
900,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1018,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
